meannh,cum.prob
4027.66517406708,0.001
4539.81917886382,0.002
4685.98308887314,0.003
4897.86556620536,0.004
4989.68405063448,0.005
5121.22909475454,0.006
5247.85802478296,0.007
5317.32689280622,0.008
5384.52027538826,0.009
5418.04706345105,0.01
5524.10287660883,0.011
5576.85981294006,0.012
5639.30483789626,0.013
5666.48219052917,0.014
5728.45926724093,0.015
5811.02357737846,0.016
5817.82216258306,0.017
5901.50873356726,0.018
5912.4192117011,0.019
5954.66576058935,0.02
5986.61271907934,0.021
6040.74005969888,0.022
6090.44804080973,0.023
6108.6414147243,0.024
6138.17696185954,0.025
6173.32692197229,0.026
6225.06104588916,0.027
6245.02822938452,0.028
6276.90578355222,0.029
6329.53864545145,0.03
6353.60446113191,0.031
6368.39907739155,0.032
6423.88685980083,0.033
6452.68824847968,0.034
6459.30722459558,0.035
6492.76833407192,0.036
6525.56810820187,0.037
6548.06078903399,0.038
6565.54870281561,0.039
6606.01271853195,0.04
6622.23749886027,0.041
6645.93592727772,0.042
6685.44011413185,0.043
6696.8889987235,0.044
6736.17098578704,0.045
6767.26184818064,0.046
6771.84067553167,0.047
6809.49166940227,0.048
6832.02828309363,0.049
6859.27263476413,0.05
6877.75422848979,0.051
6900.18130457021,0.052
6914.9356009914,0.053
6930.3021428606,0.054
6951.9668366755,0.055
6989.8176758724,0.056
7009.61654183283,0.057
7019.59441589065,0.058
7048.68287239824,0.059
7060.91946473135,0.06
7097.07541730053,0.061
7113.73471096934,0.062
7136.45290659915,0.063
7138.93705998644,0.064
7161.25254797665,0.065
7196.77030481394,0.066
7216.84527901605,0.067
7228.68478786693,0.068
7254.62406212451,0.069
7264.87864556623,0.07
7291.28890227291,0.071
7294.12385173717,0.072
7326.92014841174,0.073
7337.33073957322,0.074
7357.82642418247,0.075
7381.22698205321,0.076
7395.6138226455,0.077
7409.30691482389,0.078
7432.62522617321,0.079
7449.24101523007,0.08
7466.23196960495,0.081
7478.95888426796,0.082
7507.69511883722,0.083
7522.80500248358,0.084
7528.79873558903,0.085
7546.557046186,0.086
7574.06163003346,0.087
7585.30227611363,0.088
7612.63073866572,0.089
7619.53199122491,0.09
7637.3854972031,0.091
7661.62739741135,0.092
7670.27564425519,0.093
7685.81004285104,0.094
7704.16034721447,0.095
7726.68325896421,0.096
7741.60293837396,0.097
7748.77202063469,0.098
7770.99456889805,0.099
7781.39545382172,0.1
7803.79159325034,0.101
7820.99038802154,0.102
7840.30894816846,0.103
7847.65187170492,0.104
7861.6257963602,0.105
7886.6046601466,0.106
7900.76022001143,0.107
7913.47582685644,0.108
7930.43263100903,0.109
7936.3286044821,0.11
7959.76549429283,0.111
7973.02228100594,0.112
7987.12534789197,0.113
8005.46865495449,0.114
8025.98682670176,0.115
8035.85016167405,0.116
8042.09838222635,0.117
8063.79010572921,0.118
8079.28333832334,0.119
8097.40705852602,0.12
8101.32211074845,0.121
8126.20572247578,0.122
8142.09233448507,0.123
8150.75715503099,0.124
8167.54578470707,0.125
8180.06391703733,0.126
8196.05575504413,0.127
8207.90108707538,0.128
8226.41374829229,0.129
8245.63861210633,0.13
8249.16891899777,0.131
8267.93693665763,0.132
8283.80908936628,0.133
8299.9550003945,0.134
8316.03396127564,0.135
8321.94317041889,0.136
8342.80434103545,0.137
8354.60932748079,0.138
8369.65877328208,0.139
8378.80828721664,0.14
8387.56177465277,0.141
8403.22257121547,0.142
8428.31714349814,0.143
8439.09638724493,0.144
8442.39623581601,0.145
8467.09490483347,0.146
8483.38743708904,0.147
8488.09319277084,0.148
8501.91609917647,0.149
8514.54780937684,0.15
8527.19971564671,0.151
8542.06621705518,0.152
8555.8101653792,0.153
8575.82679480206,0.154
8584.07966319966,0.155
8598.92740658872,0.156
