meannh,cum.prob
1662.54515115653,0.001
1952.27389658589,0.002
2073.29490139653,0.003
2128.05902388767,0.004
2175.48873933469,0.005
2261.64714048852,0.006
2316.09079324482,0.007
2357.74817786997,0.008
2371.29085486226,0.009
2400.43894348363,0.01
2463.30705698368,0.011
2471.60742975045,0.012
2507.31386229925,0.013
2521.21662162316,0.014
2556.0553691294,0.015
2576.83882548293,0.016
2613.82291170068,0.017
2623.61012701936,0.018
2643.70636420413,0.019
2677.87814780584,0.02
2700.21399146607,0.021
2714.25629956897,0.022
2736.04218456006,0.023
2744.03837289822,0.024
2768.02042773526,0.025
2787.80942585196,0.026
2795.04970042354,0.027
2811.90923529552,0.028
2843.56117415887,0.029
2845.78040815631,0.03
2862.01563789247,0.031
2879.71722185622,0.032
2905.59292936436,0.033
2920.42512384852,0.034
2924.09527340765,0.035
2945.59016775425,0.036
2961.08340600371,0.037
2965.12529495556,0.038
2989.94910447127,0.039
3002.1058535582,0.04
3009.90606873082,0.041
3026.11441591816,0.042
3037.61615407254,0.043
3045.55192771434,0.044
3057.15893336735,0.045
3074.30550471723,0.046
3082.81518764049,0.047
3097.1893797375,0.048
3114.75317674841,0.049
3128.42221333726,0.05
3139.60066359257,0.051
3151.76689448363,0.052
3162.3275130256,0.053
3170.53700372083,0.054
3183.26644344962,0.055
3190.69470511159,0.056
3206.62927939089,0.057
3218.06698989696,0.058
3229.02709248733,0.059
3239.69597550726,0.06
3250.03328946964,0.061
3252.57515758378,0.062
3270.27705532183,0.063
3280.88516127189,0.064
3285.32746560967,0.065
3296.00434793862,0.066
3306.8250463262,0.067
3315.69095854929,0.068
3326.3566907954,0.069
3336.06144565346,0.07
3349.81271553255,0.071
3361.11592381376,0.072
3370.34189135473,0.073
3379.46593047462,0.074
3383.94736831309,0.075
3397.01225147506,0.076
3410.17604394258,0.077
3417.19042121669,0.078
3425.54494855142,0.079
3435.7437661505,0.08
3449.5231116923,0.081
3456.30479824672,0.082
3468.03840426232,0.083
3469.36969722087,0.084
3482.11146588592,0.085
3488.30869388356,0.086
3500.74593309849,0.087
3508.22372984262,0.088
3515.00843115471,0.089
3525.30713556668,0.09
3533.06813953412,0.091
3546.45278526971,0.092
3551.67368061336,0.093
3564.88136861235,0.094
3567.03896716899,0.095
3576.29839915202,0.096
3584.26169775016,0.097
3593.90691896121,0.098
3608.02801412145,0.099
3608.96238608436,0.1
3621.91125214376,0.101
3630.2611415887,0.102
3634.39838760177,0.103
3642.76263743736,0.104
3654.30267050708,0.105
3664.78529389868,0.106
3670.3791211968,0.107
3677.38559181372,0.108
3685.53167344403,0.109
3697.5324377021,0.11
3707.06427379723,0.111
3711.24240624665,0.112
3715.90567098283,0.113
3730.16085091648,0.114
3733.83643635406,0.115
3745.89753210403,0.116
3751.15078335324,0.117
3757.59211340242,0.118
3764.71966200239,0.119
3775.70837893055,0.12
3781.82996039809,0.121
3791.51638558998,0.122
3799.96363103031,0.123
3805.4884529558,0.124
3814.57639488795,0.125
3825.8657464814,0.126
3826.87433974834,0.127
3834.38796652815,0.128
3846.86276802409,0.129
3854.52664465425,0.13
3859.59976195157,0.131
3871.12502893137,0.132
3876.18821945835,0.133
3880.52650585516,0.134
3888.20484429635,0.135
3900.39375592115,0.136
3904.33237474269,0.137
3913.23974994103,0.138
3923.21914379064,0.139
3926.96871454459,0.14
3933.88592807774,0.141
3943.66523775324,0.142
3954.23477358177,0.143
3961.70643585498,0.144
3964.95496645558,0.145
3970.83268493201,0.146
3978.53505450024,0.147
3988.10307146497,0.148
3993.6766651722,0.149
4002.86012442366,0.15
4010.08663006826,0.151
4019.77982331954,0.152
4020.46003000118,0.153
4034.04052916898,0.154
4039.4427689126,0.155
4048.15859411834,0.156
4056.07382207315,0.157
4057.56900309365,0.158
4069.1847918834,0.159
4076.43520006639,0.16
4080.64428037449,0.161
4092.20084235481,0.162
4093.04509900191,0.163
4102.94476925955,0.164
4113.69601328971,0.165
4116.55396309484,0.166
4125.67322749818,0.167
4134.31427739631,0.168
4138.14101163795,0.169
4142.61655282817,0.17
4155.83344716722,0.171
4158.56927313596,0.172
4163.53457676264,0.173
4174.59665378013,0.174
4179.05018349505,0.175
4184.80368717079,0.176
4198.24544961002,0.177
4203.59361087347,0.178
4207.84863553659,0.179
4217.31225951997,0.18
4221.95478719056,0.181
4231.34839729133,0.182
4233.55543255967,0.183
4244.54879444586,0.184
4251.86488547143,0.185
4257.74673085724,0.186
4264.138863009,0.187
4272.35949180172,0.188
4276.02146976231,0.189
4281.74810526069,0.19
4292.44431416692,0.191
4297.95477835566,0.192
4308.75016807352,0.193
4311.97368662411,0.194
4316.18989174751,0.195
4324.67810121584,0.196
4330.37463695947,0.197
4341.51153209653,0.198
4346.87057144349,0.199
4356.60526576512,0.2
4360.90892169926,0.201
4365.52406148021,0.202
4376.93485841426,0.203
4379.48495045083,0.204
4385.5618695821,0.205
4395.22115936645,0.206
4403.02544876768,0.207
4408.78010957624,0.208
4411.14117683463,0.209
4418.69937565335,0.21
4425.26097449442,0.211
4432.5509274629,0.212
4442.65853121896,0.213
4450.85683726008,0.214
4452.35382833715,0.215
4460.94557241525,0.216
4464.97043990685,0.217
4474.34393831639,0.218
4478.60599507471,0.219
4489.55758842694,0.22
4495.0069664282,0.221
4499.67885658986,0.222
4506.95703774296,0.223
4512.18609028632,0.224
4523.22152208386,0.225
4525.95320536788,0.226
4534.84034531208,0.227
4540.60537497416,0.228
4548.73420178001,0.229
4554.53097216819,0.23
4561.57042238691,0.231
4565.71916223866,0.232
4578.6242247976,0.233
4578.64834648959,0.234
4588.05319566536,0.235
4592.16245010831,0.236
4598.79909892735,0.237
4611.75469424666,0.238
4616.84811565636,0.239
4619.41018797763,0.24
4626.88377961474,0.241
4635.84526305394,0.242
4640.52843233314,0.243
4646.35854080702,0.244
4653.99444729866,0.245
4661.100370479,0.246
4665.4218180528,0.247
4677.81935797663,0.248
4683.37017228245,0.249
4688.88100795828,0.25
4692.26047100831,0.251
4700.85483586786,0.252
4706.22510038508,0.253
4715.13570101069,0.254
4720.98239602331,0.255
4729.25232172731,0.256
4736.55135185849,0.257
4741.91834514961,0.258
4748.93991278627,0.259
4757.83636535957,0.26
4760.84159216453,0.261
4767.11571796132,0.262
4772.84897620045,0.263
4781.24410851825,0.264
4784.73931627393,0.265
4796.05877417901,0.266
4800.17490617227,0.267
4804.32876040696,0.268
4814.34549709911,0.269
4823.01966208277,0.27
4828.50890804214,0.271
4833.24230712745,0.272
4842.50245161011,0.273
4848.36681395486,0.274
4852.0500070391,0.275
4862.02556792618,0.276
4865.24187160141,0.277
4872.64930045324,0.278
4883.12626226681,0.279
4883.88130256525,0.28
4894.02847580159,0.281
4902.30869831779,0.282
4909.7084921846,0.283
4914.22022166486,0.284
4917.03994549576,0.285
4928.8228099906,0.286
4936.05783006564,0.287
4940.66746885022,0.288
4944.43640685798,0.289
4950.98930740909,0.29
4962.72964357035,0.291
4966.8891119827,0.292
4974.02206507508,0.293
4977.33388351191,0.294
4983.16176049081,0.295
4992.11453974304,0.296
4997.98426813127,0.297
5003.7337033801,0.298
5013.40803038349,0.299
5019.18394627587,0.3
5027.79358383188,0.301
5029.47887228209,0.302
5038.0391139587,0.303
5048.13702830506,0.304
5054.62557573185,0.305
5058.65489951636,0.306
5066.34097542331,0.307
5069.40903557037,0.308
5076.63705788622,0.309
5086.23838497968,0.31
5094.11558143398,0.311
5096.04809360158,0.312
5107.55432956627,0.313
5112.47591852187,0.314
5120.35566528259,0.315
5126.63099012022,0.316
5133.02026318573,0.317
5141.08355618533,0.318
5145.69059521401,0.319
5155.02411116452,0.32
5156.26275564006,0.321
5165.84639493876,0.322
5173.70367217913,0.323
5177.73307021951,0.324
5183.47222601707,0.325
5190.05486721319,0.326
5198.61262183341,0.327
5209.48212922418,0.328
5212.19952588226,0.329
5216.80159963103,0.33
5223.3593882772,0.331
5235.22620228559,0.332
5242.85801376358,0.333
5247.97228519259,0.334
5254.41890104264,0.335
5260.87384100541,0.336
5268.98643849187,0.337
5275.8624552562,0.338
5278.80384660554,0.339
5285.79221091206,0.34
5291.97275155446,0.341
5302.94569096465,0.342
5306.18415498723,0.343
5315.42117211129,0.344
5320.14280755272,0.345
5328.69595171046,0.346
5332.91234007336,0.347
5344.87220113053,0.348
5347.70608352834,0.349
5356.10502390255,0.35
5362.02821327136,0.351
5366.60012000118,0.352
5372.45924097723,0.353
5380.8662379487,0.354
5385.79783296978,0.355
5393.57973744952,0.356
5402.51957017551,0.357
5411.84923174936,0.358
5415.92534868218,0.359
5421.40540978388,0.36
5431.02236786031,0.361
5437.92386497385,0.362
5441.16035603086,0.363
5447.81415804392,0.364
5460.13500628385,0.365
5462.49045917459,0.366
5471.14623237846,0.367
5476.51438495146,0.368
5485.60913499,0.369
5495.3960700544,0.37
5501.95575977127,0.371
5503.47174422752,0.372
5510.90389747084,0.373
5521.40220122557,0.374
5526.49974434867,0.375
5537.0118336648,0.376
5541.3967928431,0.377
5545.90880364032,0.378
5554.91535458402,0.379
5561.07966737367,0.38
5569.14462343031,0.381
5576.35120834974,0.382
5581.57733077805,0.383
5587.74895610536,0.384
5595.1985893361,0.385
5605.64384195623,0.386
5608.18308420767,0.387
5617.02361944221,0.388
5624.07541919149,0.389
5629.17560870612,0.39
5635.09663608397,0.391
5648.72577567958,0.392
5655.08655055155,0.393
5657.53228456065,0.394
5665.85930925484,0.395
5673.45555412766,0.396
5682.92580352533,0.397
5691.24643844601,0.398
5697.394661155,0.399
5699.96619010332,0.4
