"DateObserved","CommonName","TotalObserved","MortBin","patch_name","Long","Lat","Source"
2022-04-23,"Common Murre",5,"1–10","Patch6",-57.8857,49.5295,"Observed"
2022-05-10,"Common Murre",1,"1–10","Patch6",-59.7725,54.9082,"Observed"
2022-05-10,"Northern Gannet",6,"1–10","Patch6",-58.92,48.69,"Observed"
2022-05-11,"Common Murre",2,"1–10","Patch5",-59.1764,55.0862,"Observed"
2022-05-11,"Northern Gannet",1,"1–10","Patch6",-58.95,48.68,"Observed"
2022-05-11,"Northern Gannet",1,"1–10","Patch6",-58.95,48.68,"Observed"
2022-05-11,"Northern Gannet",1,"1–10","Patch6",-58.95,48.68,"Observed"
2022-05-11,"Northern Gannet",1,"1–10","Patch6",-58.95,48.68,"Observed"
2022-05-13,"Northern Gannet",12,"10–50","Patch6",-58.33,49.21,"Observed"
2022-05-21,"Northern Gannet",1,"1–10","Patch6",-57.72,48.99,"Observed"
2022-05-22,"Northern Gannet",2,"1–10","Patch3",-52.98601,48.03594,"Observed"
2022-05-22,"Northern Gannet",100,"50–100","Patch6",-58.33,49.21,"Observed"
2022-05-22,"Northern Gannet",1,"1–10","Patch7",-55.66,46.88,"Observed"
2022-05-22,"Northern Gannet",1,"1–10","Patch7",-55.6701,46.8808,"Observed"
2022-05-27,"Northern Gannet",16,"10–50","Patch6",-57.96,49.59,"Observed"
2022-05-27,"Northern Gannet",1,"1–10","Patch6",-57.93,49.74,"Observed"
2022-05-27,"Northern Gannet",27,"10–50","Patch6",-58.58,48.42,"Observed"
2022-05-29,"Northern Gannet",1,"1–10","Patch3",-52.96437,47.52219,"Observed"
2022-05-30,"Northern Gannet",12,"10–50","Patch6",-58.4,48.5,"Observed"
2022-06-01,"Northern Gannet",1,"1–10","Patch6",-58.43,48.47,"Observed"
2022-06-01,"Northern Gannet",1,"1–10","Patch6",-59.08,48.62,"Observed"
2022-06-01,"Northern Gannet",1,"1–10","Patch6",-59.08,48.62,"Observed"
2022-06-02,"Northern Gannet",1,"1–10","Patch2",-53.58,46.86,"Observed"
2022-06-05,"Northern Gannet",4,"1–10","Patch1",-54.19,46.82,"Observed"
2022-06-05,"Northern Gannet",1,"1–10","Patch1",-54.19591,46.82332,"Observed"
2022-06-05,"Northern Gannet",3,"1–10","Patch1",-54.19591,46.82332,"Observed"
2022-06-05,"Northern Gannet",2,"1–10","Patch1",-54.17298,46.91992,"Observed"
2022-06-05,"Northern Gannet",1,"1–10","Patch1",-54.2,46.82,"Observed"
2022-06-06,"Northern Gannet",2,"1–10","Patch2",-53.58,46.8611,"Observed"
2022-06-08,"Northern Gannet",11,"10–50","Patch6",-59,48.66,"Observed"
2022-06-08,"Northern Gannet",200,"100–500","Patch6",-59,48.66,"Observed"
2022-06-09,"Northern Gannet",25,"10–50","Patch6",-58.5,48.45,"Observed"
2022-06-12,"Northern Gannet",1,"1–10","Patch6",-57.8009865,49.9559731,"Observed"
2022-06-13,"Northern Gannet",3,"1–10","Patch6",-60.11092,48.187619,"Observed"
2022-06-13,"Northern Gannet",1,"1–10","Patch6",-60.115766,48.534633,"Observed"
2022-06-13,"Northern Gannet",1,"1–10","Patch6",-60.113115,48.390321,"Observed"
2022-06-14,"Northern Gannet",1,"1–10","Patch2",-53.58,46.86,"Observed"
2022-06-15,"Northern Gannet",19,"10–50","Patch6",-58.801437,48.56526,"Observed"
2022-06-20,"Northern Gannet",1,"1–10","Patch6",-58.429933,48.482029,"Observed"
2022-07-01,"Northern Gannet",4,"1–10","Patch6",-58.62347,48.54993,"Observed"
2022-07-01,"Northern Gannet",2,"1–10","Patch7",-55.79415,47.79625,"Observed"
2022-07-05,"Common Murre",10,"1–10","Patch7",-55.937704,46.899622,"Observed"
2022-07-06,"Common Murre",1,"1–10","Patch1",-53.95038,46.8801,"Observed"
2022-07-08,"Common Murre",14,"10–50","Patch7",-55.937704,46.899622,"Observed"
2022-07-08,"Common Murre",1,"1–10","Patch7",-55.92,46.9,"Observed"
2022-07-08,"Common Murre",1,"1–10","Patch7",-55.92,46.9,"Observed"
2022-07-08,"Common Murre",1,"1–10","Patch7",-55.92,46.9,"Observed"
2022-07-08,"Common Murre",1,"1–10","Patch7",-55.92,46.9,"Observed"
2022-07-08,"Common Murre",1,"1–10","Patch7",-55.92,46.9,"Observed"
2022-07-08,"Common Murre",1,"1–10","Patch7",-55.92,46.9,"Observed"
2022-07-08,"Common Murre",1,"1–10","Patch7",-55.92,46.9,"Observed"
2022-07-08,"Common Murre",1,"1–10","Patch7",-55.92,46.9,"Observed"
2022-07-08,"Common Murre",1,"1–10","Patch7",-55.92,46.9,"Observed"
2022-07-08,"Common Murre",1,"1–10","Patch7",-55.92,46.9,"Observed"
2022-07-09,"Common Murre",1,"1–10","Patch2",-52.83,47.244741,"Observed"
2022-07-10,"Northern Gannet",2,"1–10","Patch1",-54.202,46.816,"Observed"
2022-07-11,"Northern Gannet",1,"1–10","Patch6",-58.43106,48.469082,"Observed"
2022-07-11,"Northern Gannet",2,"1–10","Patch6",-60.1035,48.36791,"Observed"
2022-07-11,"Northern Gannet",1,"1–10","Patch6",-58.430188,48.485455,"Observed"
2022-07-11,"Northern Gannet",1,"1–10","Patch6",-58.431236,48.466471,"Observed"
2022-07-12,"Common Murre",10,"1–10","Patch2",-53.597749,46.892143,"Observed"
2022-07-12,"Common Murre",7,"1–10","Patch2",-53.636836,46.789008,"Observed"
2022-07-12,"Common Murre",8,"1–10","Patch2",-53.5977,46.89214,"Observed"
2022-07-12,"Common Murre",4,"1–10","Patch2",-53.6368,46.8003,"Observed"
2022-07-12,"Northern Gannet",1,"1–10","Patch2",-53.597749,46.892143,"Observed"
2022-07-12,"Northern Gannet",1,"1–10","Patch2",-53.5977,46.89214,"Observed"
2022-07-12,"Northern Gannet",4,"1–10","Patch7",-56.74754,47.57983,"Observed"
2022-07-13,"Common Murre",18,"10–50","Patch1",-53.947025,46.882552,"Observed"
2022-07-13,"Common Murre",10,"1–10","Patch1",-54.17298,46.91992,"Observed"
2022-07-13,"Common Murre",6,"1–10","Patch1",-53.9587,46.8833,"Observed"
2022-07-13,"Common Murre",12,"10–50","Patch1",-54.0025,47.23164,"Observed"
2022-07-13,"Common Murre",3,"1–10","Patch1",-54.14797,46.82288,"Observed"
2022-07-13,"Northern Gannet",2,"1–10","Patch1",-53.947025,46.882552,"Observed"
2022-07-13,"Northern Gannet",1,"1–10","Patch1",-54.17298,46.91992,"Observed"
2022-07-13,"Northern Gannet",1,"1–10","Patch1",-53.95,46.88,"Observed"
2022-07-13,"Northern Gannet",1,"1–10","Patch1",-53.95,46.88,"Observed"
2022-07-13,"Common Murre",10,"1–10","Patch2",-53.59775,46.8922,"Observed"
2022-07-13,"Common Murre",7,"1–10","Patch2",-53.63737,46.80076,"Observed"
2022-07-13,"Northern Gannet",1,"1–10","Patch2",-53.59775,46.8922,"Observed"
2022-07-13,"Common Murre",8,"1–10","Patch7",-55.67023,46.88089,"Observed"
2022-07-13,"Common Murre",10,"1–10","Patch7",-56.3159,46.8852,"Observed"
2022-07-13,"Common Murre",4,"1–10","Patch7",-55.37769,46.91026,"Observed"
2022-07-13,"Northern Gannet",6,"1–10","Patch7",-55.67023,46.88089,"Observed"
2022-07-13,"Northern Gannet",2,"1–10","Patch7",-55.80345,46.86907,"Observed"
2022-07-14,"Common Murre",6,"1–10","Patch1",-54.19889,46.83323,"Observed"
2022-07-14,"Common Murre",9,"1–10","Patch1",-54.08,46.809459,"Observed"
2022-07-14,"Common Murre",14,"10–50","Patch1",-54.08388,46.81375,"Observed"
2022-07-14,"Common Murre",10,"1–10","Patch1",-54.0837,46.81332,"Observed"
2022-07-14,"Common Murre",1,"1–10","Patch1",-54.0837,46.81332,"Observed"
2022-07-14,"Northern Gannet",2,"1–10","Patch1",-54.08,46.809459,"Observed"
